# Statistical data for: no prefix
# Data format for populations:
# auto generated | average | variance | std dev | min | max 
88  1.29279 0 0 1.29279 1.29279  # Based on 1 samples
89  1.30377 0 0 1.30377 1.30377  # Based on 1 samples
90  1.30377 0 0 1.30377 1.30377  # Based on 1 samples
91  1.28213 0 0 1.28213 1.28213  # Based on 1 samples
92  1.30391 0 0 1.30391 1.30391  # Based on 1 samples
93  1.30378 0 0 1.30378 1.30378  # Based on 1 samples
94  1.30388 0 0 1.30388 1.30388  # Based on 1 samples
95  1.31476 0 0 1.31476 1.31476  # Based on 1 samples
96  1.29294 0 0 1.29294 1.29294  # Based on 1 samples
97  1.29301 0 0 1.29301 1.29301  # Based on 1 samples
98  1.30385 0 0 1.30385 1.30385  # Based on 1 samples
99  1.29295 0 0 1.29295 1.29295  # Based on 1 samples
100  1.30386 0 0 1.30386 1.30386  # Based on 1 samples
101  1.90489 0 0 1.90489 1.90489  # Based on 1 samples
102  2.57929 0 0 2.57929 2.57929  # Based on 1 samples
103  2.59664 0 0 2.59664 2.59664  # Based on 1 samples
104  2.59652 0 0 2.59652 2.59652  # Based on 1 samples
105  2.58568 0 0 2.58568 2.58568  # Based on 1 samples
106  2.58568 0 0 2.58568 2.58568  # Based on 1 samples
107  2.59658 0 0 2.59658 2.59658  # Based on 1 samples
108  2.59674 0 0 2.59674 2.59674  # Based on 1 samples
109  5.06832 0 0 5.06832 5.06832  # Based on 1 samples
110  5.18254 0 0 5.18254 5.18254  # Based on 1 samples
111  5.17157 0 0 5.17157 5.17157  # Based on 1 samples
112  6.41661 0 0 6.41661 6.41661  # Based on 1 samples
113  10.1881 0 0 10.1881 10.1881  # Based on 1 samples
114  10.3539 0 0 10.3539 10.3539  # Based on 1 samples
115  10.343 0 0 10.343 10.343  # Based on 1 samples
116  15.3911 0 0 15.3911 15.3911  # Based on 1 samples
117  20.4685 0 0 20.4685 20.4685  # Based on 1 samples
118  25.19 0 0 25.19 25.19  # Based on 1 samples
119  27.8585 0 0 27.8585 27.8585  # Based on 1 samples
120  27.5385 0 0 27.5385 27.5385  # Based on 1 samples
121  27.7801 0 0 27.7801 27.7801  # Based on 1 samples
122  27.871 0 0 27.871 27.871  # Based on 1 samples
123  27.9657 0 0 27.9657 27.9657  # Based on 1 samples
124  27.5675 0 0 27.5675 27.5675  # Based on 1 samples
125  27.6144 0 0 27.6144 27.6144  # Based on 1 samples
126  17.1679 0 0 17.1679 17.1679  # Based on 1 samples
127  1.03758 0 0 1.03758 1.03758  # Based on 1 samples
128  1.18723 0 0 1.18723 1.18723  # Based on 1 samples
129  1.01517 0 0 1.01517 1.01517  # Based on 1 samples
130  1.0668 0 0 1.0668 1.0668  # Based on 1 samples
# avg variance = 0.000000  |  avg std dev = 0.000000
